url_path,views_total,views_unique
/OSU-Nowlab/Infer-HiRes,2,2
/OSU-Nowlab/Infer-HiRes/actions/runs/29708805948,1,1
/OSU-Nowlab/Infer-HiRes/actions/workflows/Infer-HiRes-github-repo-stats.yml,1,1
