time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-09 00:00:00+00:00,1,1,0,0
2026-04-10 00:00:00+00:00,10,6,0,0
2026-04-11 00:00:00+00:00,31,9,0,0
2026-04-12 00:00:00+00:00,28,11,0,0
2026-04-13 00:00:00+00:00,15,8,0,0
2026-04-14 00:00:00+00:00,11,6,0,0
2026-04-15 00:00:00+00:00,4,4,0,0
2026-04-16 00:00:00+00:00,17,6,0,0
2026-04-17 00:00:00+00:00,15,8,1,1
2026-04-18 00:00:00+00:00,34,12,0,0
2026-04-19 00:00:00+00:00,36,15,0,0
2026-04-20 00:00:00+00:00,28,14,0,0
2026-04-21 00:00:00+00:00,61,24,1,1
2026-04-22 00:00:00+00:00,58,23,1,1
